,Model,All,BBH,MTB,SQuAD
0,Nexusflow/Starling-LM-7B-beta,0.8176816023211163,0.6821858973986042,0.5868430686709427,0.6649561382425685
1,google/gemma-1.1-7b-it,0.823025667677674,0.7311618179220205,0.660574749598993,0.6416205981994765
2,meta-llama/Meta-Llama-3-8B-Instruct,0.82683476282697,0.710702710525975,0.7164316636796488,0.631338543164113
